타임스탬프,학년,MBTI 첫 문자가 무엇인가요?,MBTI 두번째 문자가 무엇인가요?,MBTI 세번째 문자가 무엇인가요?,MBTI 네번째 문자가 무엇인가요?,MBTI가 자신의 성격을 잘 나타낸다고 생각하시나요?,MBTI가 학업 성취도와 연관이 있다고 생각하시나요?,학업 성취도와 연관이 있다고 생각하시면 어떤 MBTI가 가장 뛰어난 학업 성취도를 보일 것 같다고 생각하시나요?,카톡아이디(선물 지급용)
2024. 6. 6 오전 10:02:39,9학년,I,N,T,P,네,아니오,학업 성취도와 연관이 없다고 생각합니다.,hj0525ha
2024. 6. 6 오전 10:02:50,11학년,E,N,T,J,네,네,ENTJ,teison0226
2024. 6. 6 오전 10:05:42,11학년,I,N,F,P,네,네,"계획형, 즉 J의 비율이 상대적으로 많은 사람",
2024. 6. 6 오전 10:08:57,9학년,I,S,F,P,아니오,아니오,없습니다.,leeminseo09
2024. 6. 6 오전 10:11:54,7학년,I,S,T,J,네,아니오,생각 안함,jibakusonehanakoyang
2024. 6. 6 오전 10:14:04,7학년,I,S,T,J,네,아니오,.,Jungbokyung
2024. 6. 6 오전 10:14:06,11학년,I,S,T,P,네,네,INTJ,Wkdsy2007
2024. 6. 6 오전 10:18:17,11학년,I,S,T,P,네,네,ESTJ,Hawol_K
2024. 6. 6 오전 10:32:34,11학년,I,N,T,P,네,아니오,Intj,Sieun126
2024. 6. 6 오전 10:32:56,11학년,I,S,T,P,아니오,네,Intp,
2024. 6. 6 오전 10:41:28,7학년,E,N,T,P,아니오,아니오,굳이 고르자면 ESTJ..?,sadhana3003
2024. 6. 6 오전 10:43:58,11학년,E,N,F,P,네,네,ESFJ,yil0328
2024. 6. 6 오전 10:45:48,8학년,I,N,T,P,네,아니오,Entj 남을 잘 이끄니,noogunga
2024. 6. 6 오전 10:56:11,11학년,E,N,F,J,네,아니오,X,
2024. 6. 6 오전 11:13:50,9학년,E,N,T,J,네,네,INTJ,ginasonvietnam 
2024. 6. 6 오후 12:13:05,11학년,E,S,F,P,아니오,아니오,intj,jennyjerry333
2024. 6. 6 오후 1:22:05,8학년,I,S,F,P,네,네,INTP,
2024. 6. 6 오후 1:22:23,7학년,I,S,T,P,네,네,Isfp,
2024. 6. 6 오후 1:22:49,7학년,E,N,F,P,네,네,ENFP,
2024. 6. 6 오후 1:24:00,9학년,I,N,F,J,네,네,ENTJ,
2024. 6. 6 오후 1:24:40,9학년,E,S,F,P,아니오,네,ISTP,
2024. 6. 6 오후 1:25:13,8학년,I,S,T,P,아니오,네,Intp,
2024. 6. 6 오후 1:28:51,10학년,I,N,F,J,네,네,INFJ,
2024. 6. 6 오후 1:29:15,7학년,E,S,F,P,아니오,네,ENFJ,
2024. 6. 6 오후 1:29:43,10학년,E,S,F,P,네,네,ISTJ,
2024. 6. 6 오후 4:00:59,9학년,E,N,F,P,아니오,아니오,❌,qa3_n.7
2024. 6. 6 오후 4:59:13,7학년,E,S,F,P,네,네,Mbti에 따라 각자 성격별로 잘 맞는 공부방법으로 조금 더 쉽게 재밌게 공부 할 수 있을 것 같아서,happy_ayoung
2024. 6. 6 오후 5:25:28,12학년,I,S,F,P,네,아니오,없음,dlcl27
2024. 6. 6 오후 5:29:44,7학년,E,N,F,P,네,아니오,ESTJ,ulokim
2024. 6. 6 오후 6:45:08,7학년,E,S,T,P,네,아니오,Istj,gl8292011
2024. 6. 8 오후 7:03:02,11학년,I,S,T,J,네,네,ISTJ,ksh07416
2024. 6. 8 오후 7:03:34,11학년,I,N,F,J,아니오,네,INTJ,
