"타임스탬프","학년","MBTI 첫 문자가 무엇인가요?","MBTI 두번째 문자가 무엇인가요?","MBTI 세번째 문자가 무엇인가요?","MBTI 네번째 문자가 무엇인가요?","MBTI가 자신의 성격을 잘 나타낸다고 생각하시나요?","MBTI가 학업 성취도와 연관이 있다고 생각하시나요?","학업 성취도와 연관이 있다고 생각하시면 어떤 MBTI가 가장 뛰어난 학업 성취도를 보일 것 같다고 생각하시나요?",""
"6/6/2024 10:02:39","9학년","I","N","T","P","네","아니오","연관 없음",""
"6/6/2024 10:02:50","11학년","E","N","T","J","네","네","ENTJ",""
"6/6/2024 10:05:42","11학년","I","N","F","P","네","네","계획형, 즉 J의 비율이 상대적으로 많은 사람",""
"6/6/2024 10:08:57","9학년","I","S","F","P","아니오","아니오","연관 없음",""
"6/6/2024 10:11:54","7학년","I","S","T","J","네","아니오","연관 없음",""
"6/6/2024 10:14:04","7학년","I","S","T","J","네","아니오","연관 없음",""
"6/6/2024 10:14:06","11학년","I","S","T","P","네","네","INTJ",""
"6/6/2024 10:18:17","11학년","I","S","T","P","네","네","ESTJ",""
"6/6/2024 10:32:34","11학년","I","N","T","P","네","아니오","INTJ",""
"6/6/2024 10:32:56","11학년","I","S","T","P","아니오","네","INTP",""
"6/6/2024 10:41:28","7학년","E","N","T","P","아니오","아니오","ESTJ..?",""
"6/6/2024 10:43:58","11학년","E","N","F","P","네","네","ESFJ",""
"6/6/2024 10:45:48","8학년","I","N","T","P","네","아니오","ENTJ",""
"6/6/2024 10:56:11","11학년","E","N","F","J","네","아니오","연관 없음",""
"6/6/2024 11:13:50","9학년","E","N","T","J","네","네","INTJ",""
"6/6/2024 12:13:05","11학년","E","S","F","P","아니오","아니오","INTJ",""
"6/6/2024 13:22:05","8학년","I","S","F","P","네","네","INTP",""
"6/6/2024 13:22:23","7학년","I","S","T","P","네","네","ISFP",""
"6/6/2024 13:22:49","7학년","E","N","F","P","네","네","ENFP",""
